material;k;T_fusion;T_hp;i_hp;j_hp;tipo_A;tipo_B;tipo_C;tipo_D;valor_A;valor_B;valor_C;valor_D
Copper - Constantan (60% Cu, 40% Ni);22.7;1200.0;495.986;46;31;temp;flu;flu;temp;1043.044;8448.564;1260.443;404.045
Copper - Constantan (60% Cu, 40% Ni);22.7;1200.0;932.174;37;9;flu;flu;temp;temp;-2177.007;-5557.703;828.525;1051.187
Zinc;122.0;419.0;352.59;25;15;flu;flu;flu;temp;7576.433;-6268.801;2527.055;383.497
Steel - Manganese, 1% Mn;50.0;1460.0;1000.663;24;22;flu;temp;temp;temp;6556.741;1041.008;119.054;968.378
Tantalum;57.4;3017.0;2752.488;38;34;temp;temp;temp;flu;1290.185;882.933;2459.991;-6137.959
Steel - Carbon, 0.5% C;54.0;1460.0;198.548;33;38;temp;flu;temp;temp;-67.887;7860.106;726.676;309.577
Beryllium;218.0;1287.0;-26.324;32;11;temp;temp;flu;temp;936.048;235.267;-7409.508;62.869
Gold;318.0;1064.0;795.462;21;33;flu;flu;temp;flu;-3164.516;1976.831;954.414;-3865.949
Aluminum - Duralumin;164.0;650.0;360.78;46;27;flu;temp;temp;flu;-9123.78;-154.717;635.86;9939.583
Cadmium;97.5;321.0;7.604;44;20;flu;temp;temp;flu;-5212.597;16.782;192.994;-5366.83
Chromium;94.8;1907.0;554.597;7;42;flu;flu;temp;temp;-5843.453;-8437.187;1190.762;65.681
Lithium;79.2;180.0;85.812;37;13;temp;temp;temp;temp;-114.732;-159.494;-131.483;-105.562
Steel - Carbon, 1% C;43.0;1470.0;849.153;16;17;flu;temp;flu;temp;6682.566;442.699;-5852.119;710.146
Copper - Constantan (60% Cu, 40% Ni);22.7;1200.0;1056.148;32;1;flu;temp;flu;flu;1026.313;-56.613;9858.011;3352.753
Silver;428.0;961.0;847.089;14;33;temp;flu;temp;temp;709.009;5886.645;641.638;751.215
Copper - Brass (Yellow Brass);111.0;920.0;808.035;27;38;flu;temp;flu;flu;9210.791;208.06;-8073.779;-9163.536
Steel - Hastelloy B;10.0;1390.0;459.732;40;20;temp;temp;temp;flu;677.306;150.92;200.204;-150.12
Silicon;168.0;1414.0;-40.759;27;49;temp;temp;temp;temp;800.588;578.596;1087.271;238.997
Magnesium;157.0;650.0;73.188;17;38;flu;temp;flu;temp;-236.893;435.254;8048.171;-66.304
Steel - Nickel, 60% Ni;19.0;1450.0;1024.439;13;32;temp;flu;flu;temp;144.511;9640.284;-6702.359;731.623
Inconel;15.0;1390.0;763.842;18;34;temp;temp;temp;temp;330.839;1374.858;116.454;314.286
Aluminum - Duralumin;164.0;650.0;583.318;15;42;temp;flu;flu;temp;436.396;2013.415;4953.653;-35.522
Copper - Constantan (60% Cu, 40% Ni);22.7;1200.0;684.298;13;45;flu;flu;temp;temp;2094.911;-1292.921;926.297;30.022
Osmium;61.0;3033.0;1640.812;9;49;flu;temp;temp;flu;917.894;868.306;2035.431;-7464.651
Cesium;36.1;28.5;-126.327;40;38;temp;temp;temp;flu;-101.807;-78.395;-182.528;-1926.383
Tantalum;57.4;3017.0;2211.724;43;46;temp;flu;flu;flu;2815.376;2841.973;1765.946;-9483.456
Palladium;75.5;1554.0;-126.282;4;48;temp;temp;temp;flu;149.582;472.042;1360.452;-8247.278
Silicon;168.0;1414.0;57.029;19;5;temp;temp;flu;flu;1142.549;1071.611;-8645.687;436.209
Steel - Nickel, 40% Ni;10.0;1450.0;1302.258;17;11;flu;temp;flu;temp;4343.416;1058.869;1858.496;897.548
Copper - Constantan (60% Cu, 40% Ni);22.7;1200.0;306.326;13;3;temp;temp;temp;flu;991.794;322.558;990.354;-2026.127
Iron;83.5;1538.0;1124.223;30;30;flu;temp;temp;flu;7329.289;163.044;-47.795;6592.137
Copper - Brass (Yellow Brass);111.0;920.0;369.88;19;10;temp;temp;temp;temp;-165.379;449.006;247.684;-130.29
Cobalt;104.0;1495.0;1422.553;20;18;flu;temp;flu;temp;6355.411;202.081;7351.563;1404.984
Zinc;122.0;419.0;317.161;17;49;flu;temp;temp;temp;3578.861;88.022;142.197;201.917
Platinum;71.5;1768.0;-40.148;22;19;temp;flu;flu;flu;77.155;-2388.711;4655.128;2999.643
Cupronickel;29.0;1200.0;-7.65;46;44;flu;temp;temp;flu;3165.818;322.237;203.365;271.649
Steel - Nickel, 10% Ni;26.0;1450.0;347.476;36;41;temp;flu;temp;temp;433.032;8454.324;594.185;1226.496
Copper - Cartridge Brass;120.0;920.0;898.038;12;14;temp;temp;temp;flu;795.084;809.553;94.79;-2617.831
Steel - Nickel Chrome, 80% Ni, 15% Cr;17.0;1400.0;-164.39;13;11;temp;temp;flu;flu;643.026;914.272;-1452.437;3817.358
Steel - Tungsten, 1% W;66.0;1450.0;1402.073;1;29;temp;flu;flu;temp;1106.529;-3614.066;-3185.835;1390.376
Nickel;94.0;1455.0;1177.074;24;27;flu;flu;flu;flu;-3492.958;-4100.714;8130.105;-932.022
Chromium;94.8;1907.0;155.971;21;7;temp;flu;flu;temp;267.802;-5314.186;4785.287;1800.921
Lithium;79.2;180.0;117.649;9;31;temp;temp;temp;flu;124.862;-177.706;40.713;2492.951
Molybdenum;139.0;2623.0;901.022;26;12;flu;flu;flu;temp;-9860.709;7084.704;8956.459;1139.73
Aluminum - Silumin;164.0;577.0;348.984;1;47;flu;flu;temp;temp;6263.055;7207.94;383.306;219.179
Monel;26.0;1300.0;658.366;17;24;temp;temp;flu;temp;512.311;866.244;5223.888;608.328
Hastelloy C;12.0;1390.0;827.492;33;43;flu;flu;temp;temp;-1747.449;530.761;28.67;906.131
Steel - Stainless, Type 347;14.3;1400.0;99.136;9;10;temp;temp;flu;temp;718.234;412.506;-9887.923;1206.611
Steel - Carbon, 1% C;43.0;1470.0;1281.623;40;7;temp;temp;temp;temp;921.454;918.471;601.817;-171.925
Steel - Carbon, 1.5% C;36.0;1480.0;1233.931;48;45;flu;temp;temp;temp;-1255.146;1302.993;696.678;468.899
Niobium;53.3;2477.0;1400.785;28;40;temp;flu;flu;flu;960.932;9733.276;211.179;-8377.375
Steel - Chrome, 5% Cr;40.0;1480.0;1258.055;41;7;temp;flu;flu;flu;197.421;7100.656;6890.871;-6349.195
Rubidium;58.3;39.3;-21.208;36;3;flu;flu;temp;temp;840.936;489.119;-111.155;-162.801
Steel - Manganese, 1% Mn;50.0;1460.0;637.7;39;13;flu;flu;flu;temp;8603.001;-9794.356;5077.414;857.643
Molybdenum;139.0;2623.0;15.755;35;48;temp;temp;temp;flu;1764.321;277.83;424.134;6726.939
Copper - Bronze (75% Cu, 25% Sn);26.0;950.0;373.777;16;8;temp;temp;temp;flu;-141.204;802.826;107.578;-5675.956
Aluminum;236.0;660.0;104.813;5;16;flu;flu;flu;temp;-8335.222;-2644.06;-1554.825;112.252
Iridium;148.0;2446.0;530.045;21;11;temp;temp;temp;flu;2370.191;948.936;956.654;1310.048
Steel - Chrome, 1% Cr;61.0;1480.0;-179.452;23;44;temp;temp;temp;temp;972.216;536.555;773.004;1236.65
Copper - Aluminum Bronze (95% Cu, 5% Al);83.0;1027.0;826.635;26;19;flu;flu;flu;flu;427.407;-9161.521;3705.006;-6225.407
Steel - Chrome Nickel, 20% Cr, 15% Ni;15.1;1400.0;668.463;29;48;flu;temp;temp;temp;-5139.179;193.598;1068.749;739.031
Copper - German Silver (Maillechort);24.9;900.0;715.589;15;23;temp;temp;flu;flu;95.722;-71.77;1451.563;4125.186
Copper - Phosphor bronze;50.0;900.0;446.174;45;46;temp;temp;temp;flu;15.676;-20.672;506.436;6176.125
Steel - Manganese, 1% Mn;50.0;1460.0;739.236;9;14;flu;flu;temp;flu;-2450.263;3651.737;652.411;2496.716
Palladium;75.5;1554.0;1273.285;5;38;temp;flu;temp;temp;1489.062;5643.557;-69.825;1446.11
Monel;26.0;1300.0;1154.629;25;26;temp;temp;flu;temp;394.515;691.695;143.056;-48.797
Tantalum;57.4;3017.0;923.971;3;31;flu;flu;temp;temp;-353.603;7080.671;2729.694;412.074
