material;k;T_fusion;T_hp;i_hp;j_hp;tipo_A;tipo_B;tipo_C;tipo_D;valor_A;valor_B;valor_C;valor_D
Cadmium;97.5;321.0;240.553;40;41;flu;flu;flu;temp;-1584.413;3523.018;8561.731;50.597
Molybdenum;139.0;2623.0;1046.583;25;2;flu;flu;flu;flu;7073.961;2335.864;9377.97;4657.572
Aluminum - Silumin;164.0;577.0;4.689;21;48;temp;temp;temp;flu;192.333;474.277;158.986;8552.769
Copper - Cartridge Brass;120.0;920.0;245.113;40;14;temp;temp;temp;flu;687.231;437.604;105.921;2536.853
Chromium;94.8;1907.0;155.971;21;7;temp;flu;flu;temp;267.802;-5314.186;4785.287;1800.921
Copper - Cartridge Brass;120.0;920.0;-140.224;22;43;flu;temp;flu;temp;-734.018;784.201;-1904.034;42.917
Steel - Carbon, 1.5% C;36.0;1480.0;-176.352;36;0;temp;flu;temp;flu;637.55;-9765.448;608.32;6383.651
Aluminum - Silumin;164.0;577.0;90.987;31;25;flu;flu;flu;temp;5308.93;8995.903;6802.924;-31.569
Aluminum;236.0;660.0;104.813;5;16;flu;flu;flu;temp;-8335.222;-2644.06;-1554.825;112.252
Copper - Phosphor bronze;50.0;900.0;134.859;9;38;temp;flu;temp;temp;648.501;-8429.518;297.48;881.689
Tungsten;182.0;3422.0;1159.976;7;6;flu;flu;temp;flu;-8617.877;6186.493;156.831;-808.836
Aluminum;236.0;660.0;490.101;9;10;flu;temp;flu;flu;7673.146;283.496;-4305.301;5301.995
Thorium;42.0;1750.0;107.46;38;19;temp;flu;flu;temp;1196.962;6516.036;-8832.982;1166.628
Monel;26.0;1300.0;1095.739;31;48;flu;temp;temp;temp;-2980.656;425.201;222.144;598.07
Steel - Carbon, 0.5% C;54.0;1460.0;693.965;38;24;temp;flu;flu;temp;812.342;-9411.776;9964.172;1026.432
Niobium;53.3;2477.0;1992.849;28;28;flu;flu;temp;temp;-3597.67;1123.211;1063.245;11.729
Cesium;36.1;28.5;-126.327;40;38;temp;temp;temp;flu;-101.807;-78.395;-182.528;-1926.383
Copper;401.0;1085.0;100.558;34;12;temp;temp;flu;flu;636.71;513.021;4995.643;-158.085
Steel - Hastelloy C;8.7;1390.0;-90.874;41;37;temp;temp;flu;temp;187.552;40.054;-1681.015;653.074
Steel - Manganese, 1% Mn;50.0;1460.0;239.232;1;35;temp;temp;flu;temp;443.231;627.794;4167.654;226.006
Steel - Chrome, 5% Cr;40.0;1480.0;1258.055;41;7;temp;flu;flu;flu;197.421;7100.656;6890.871;-6349.195
Steel - Carbon, 1.5% C;36.0;1480.0;1421.403;6;22;flu;temp;flu;temp;8469.45;789.401;37.727;407.943
Copper;401.0;1085.0;705.227;16;9;flu;temp;temp;temp;-8338.413;766.833;-120.855;183.216
Aluminum bronze;70.0;1027.0;809.361;39;47;temp;flu;temp;flu;162.203;3787.909;917.137;11.825
Aluminum - Duralumin;164.0;650.0;-65.609;22;8;flu;flu;flu;flu;9261.764;3948.809;-300.62;6332.859
Tin;68.2;232.0;-81.31;28;9;temp;temp;flu;flu;205.06;-140.268;-1933.1;7389.458
Indium;83.7;157.0;-35.527;32;5;temp;temp;flu;temp;17.437;-156.93;6368.758;106.702
Magnesium;157.0;650.0;73.188;17;38;flu;temp;flu;temp;-236.893;435.254;8048.171;-66.304
Magnesium alloy AZ31B;100.0;620.0;186.035;41;10;flu;temp;flu;temp;2912.924;-135.616;4506.693;-122.978
Silicon;168.0;1414.0;990.261;21;33;temp;temp;temp;flu;368.463;794.432;776.434;3825.934
Gold;318.0;1064.0;-29.513;33;2;temp;flu;flu;temp;108.472;3332.621;-4747.5;951.171
Copper - German Silver (Maillechort);24.9;900.0;715.589;15;23;temp;temp;flu;flu;95.722;-71.77;1451.563;4125.186
Niobium;53.3;2477.0;1658.78;20;28;temp;temp;flu;temp;1011.639;1126.395;2661.793;1127.159
Sodium;135.0;97.8;77.005;11;49;temp;flu;flu;flu;-169.0;7600.322;6287.497;-990.252
Solder 50-50;50.0;183.0;89.604;30;13;temp;flu;temp;temp;-122.723;1123.129;165.347;140.655
Cupronickel;29.0;1200.0;951.801;16;44;temp;temp;flu;temp;576.44;833.332;-8786.603;363.59
Magnesium alloy AZ31B;100.0;620.0;148.274;8;1;temp;flu;temp;temp;433.5;-9871.016;-23.036;539.597
Tantalum;57.4;3017.0;1334.832;33;25;flu;temp;temp;temp;2751.422;2471.738;1032.828;1215.772
Zirconium;23.2;1855.0;1607.801;21;36;flu;temp;flu;temp;582.969;981.807;9588.893;1485.302
Aluminum - Duralumin;164.0;650.0;428.869;46;48;flu;temp;temp;temp;-6695.81;29.301;-85.447;-105.745
Beryllium;218.0;1287.0;898.24;29;42;flu;flu;flu;flu;2345.934;1909.601;3355.363;3759.09
Cadmium;97.5;321.0;5.966;11;15;flu;flu;flu;flu;-92.32;6482.186;-1694.062;-4940.145
Cupronickel;29.0;1200.0;49.808;18;1;flu;temp;temp;temp;-5745.286;801.76;324.198;330.473
Magnesium;157.0;650.0;-90.8;23;37;flu;flu;flu;flu;-8548.72;181.636;-1549.416;-407.636
Steel - Carbon, 1% C;43.0;1470.0;350.038;15;48;temp;temp;flu;temp;300.422;816.31;-2530.983;489.992
Tungsten;182.0;3422.0;702.225;6;26;flu;temp;temp;temp;1969.169;2984.055;1994.724;1845.991
Copper - Phosphor bronze;50.0;900.0;229.247;38;38;temp;flu;temp;flu;18.792;8507.011;670.458;-3375.079
Cupronickel;29.0;1200.0;468.567;22;24;flu;temp;temp;temp;-1834.01;503.904;30.346;536.298
Hafnium;23.3;2233.0;576.821;19;1;flu;flu;temp;flu;3556.62;-198.986;1501.877;-3815.726
Solder 50-50;50.0;183.0;-167.815;26;31;flu;temp;temp;flu;5742.947;168.028;-108.972;-6891.718
Steel - Stainless, Type 304;14.4;1400.0;674.576;37;45;temp;flu;temp;flu;437.457;-6916.701;-171.329;-4953.913
Copper;401.0;1085.0;-4.363;13;3;flu;temp;temp;flu;-2354.854;-144.526;999.496;-337.615
Silver;428.0;961.0;604.719;25;8;flu;temp;temp;flu;-3250.945;672.004;846.616;-5874.314
Cesium;36.1;28.5;-167.186;6;39;temp;flu;temp;temp;-170.427;7009.069;-188.768;-175.076
Steel - Carbon, 0.5% C;54.0;1460.0;360.73;47;16;temp;temp;temp;flu;1219.068;901.927;1026.158;-1296.305
Steel - Chrome, 1% Cr;61.0;1480.0;421.187;16;16;temp;flu;temp;temp;1252.324;9892.597;950.121;241.904
Copper - Bronze (75% Cu, 25% Sn);26.0;950.0;421.643;1;8;flu;flu;temp;temp;-6984.441;-5352.583;669.632;726.109
Copper - Admiralty Brass;111.0;900.0;87.18;35;5;flu;temp;flu;temp;6729.435;686.288;3312.208;600.997
Tungsten;182.0;3422.0;2776.049;7;17;flu;temp;temp;flu;8336.242;3196.817;2345.841;-7001.375
Magnesium alloy AZ31B;100.0;620.0;73.621;32;33;flu;flu;flu;temp;9165.843;-2788.97;41.502;15.233
Beryllium copper 25;80.0;870.0;212.886;29;49;flu;flu;temp;flu;-3230.074;-7896.443;-90.908;-8065.895
Aluminum;236.0;660.0;11.377;10;23;flu;flu;temp;flu;-4806.677;132.413;414.246;7961.884
Iridium;148.0;2446.0;-164.634;17;28;flu;flu;flu;temp;8838.585;-5923.163;-3517.217;455.847
Steel - Chrome, 5% Cr;40.0;1480.0;677.546;27;22;temp;flu;flu;flu;-64.562;7700.95;-3132.648;-9962.427
Iridium;148.0;2446.0;489.309;34;3;flu;flu;flu;temp;-3458.825;6844.33;-8811.845;760.363
Steel - Tungsten, 1% W;66.0;1450.0;1236.911;17;34;temp;flu;temp;flu;368.786;2568.104;282.095;-9619.674
Platinum;71.5;1768.0;851.42;47;12;temp;flu;flu;flu;-145.681;5643.472;-4536.892;-438.335
Lithium;79.2;180.0;85.812;37;13;temp;temp;temp;temp;-114.732;-159.494;-131.483;-105.562
Steel - Stainless, Type 304;14.4;1400.0;1336.352;3;31;flu;temp;flu;temp;-5706.344;580.931;1241.017;424.192
Molybdenum;139.0;2623.0;901.022;26;12;flu;flu;flu;temp;-9860.709;7084.704;8956.459;1139.73
Lithium;79.2;180.0;117.649;9;31;temp;temp;temp;flu;124.862;-177.706;40.713;2492.951
Copper - Phosphor bronze;50.0;900.0;366.051;15;45;flu;flu;temp;flu;-5906.577;-7789.915;592.561;4704.592
Germanium;66.7;938.0;282.202;35;39;flu;flu;temp;flu;6994.138;9726.122;806.16;-7998.634
Mercury;28.9;-39.0;-117.925;10;25;flu;flu;flu;temp;730.536;343.243;572.82;-144.649
Zinc;122.0;419.0;321.816;16;25;temp;temp;flu;flu;262.843;-40.451;-7293.836;-6860.696
Rhodium;151.0;1964.0;1910.285;38;34;flu;flu;temp;flu;9080.136;4510.874;262.261;-6032.486
Hastelloy C;12.0;1390.0;-97.807;30;30;temp;flu;flu;temp;2.816;1356.277;-3202.583;276.95
