material;k;T_fusion;T_hp;i_hp;j_hp;tipo_A;tipo_B;tipo_C;tipo_D;valor_A;valor_B;valor_C;valor_D
Steel - Tungsten, 1% W;66.0;1450.0;447.541;7;38;flu;flu;temp;flu;1731.421;-7225.994;-158.483;-2578.165
Rubidium;58.3;39.3;-61.168;37;26;temp;temp;temp;temp;-55.826;-123.429;-148.645;-15.511
Monel;26.0;1300.0;1174.731;10;12;temp;temp;flu;flu;86.528;941.84;-2043.788;1534.672
Steel - Carbon, 1% C;43.0;1470.0;997.84;25;25;temp;flu;temp;temp;706.704;7965.712;362.157;-151.187
Lithium;79.2;180.0;-179.378;37;20;flu;flu;flu;flu;3417.132;-3469.982;-5235.984;-8256.267
Copper - Aluminum Bronze (95% Cu, 5% Al);83.0;1027.0;-146.281;12;11;flu;flu;temp;flu;3824.554;-5561.388;-53.606;-3729.934
Magnesium;157.0;650.0;481.231;18;26;flu;temp;temp;flu;-2809.922;420.045;520.689;3090.55
Potassium;104.0;63.5;-104.722;18;40;flu;temp;flu;flu;-6079.485;-34.253;9252.056;5849.874
Copper - Admiralty Brass;111.0;900.0;421.231;28;8;temp;flu;temp;temp;-136.548;8744.686;888.529;-94.663
Steel - Tungsten, 1% W;66.0;1450.0;80.478;49;25;flu;flu;temp;temp;-2761.968;5030.294;497.003;1045.018
Steel - Chrome, 1% Cr;61.0;1480.0;492.049;23;48;temp;temp;temp;temp;669.788;1437.445;30.396;313.234
Vanadium;31.3;1910.0;-155.53;28;1;flu;flu;flu;flu;-2861.924;-697.822;-8980.989;-8931.67
Tungsten;182.0;3422.0;589.219;41;16;flu;flu;flu;flu;-3549.494;4523.851;-9307.621;-6502.581
Magnesium alloy AZ31B;100.0;620.0;475.439;26;38;temp;temp;temp;temp;-45.931;140.611;606.01;414.911
Steel - Hastelloy C;8.7;1390.0;-59.951;0;31;flu;flu;temp;temp;-7846.013;5654.896;227.923;237.478
Steel - Nickel Chrome, 40% Ni, 15% Cr;11.6;1400.0;1097.88;44;28;temp;flu;flu;temp;390.564;8429.724;5448.595;51.03
Incoloy;12.0;1390.0;89.364;4;23;temp;flu;temp;temp;444.122;-613.615;206.508;857.37
Copper - Admiralty Brass;111.0;900.0;-7.039;16;33;flu;flu;flu;temp;-5017.838;7825.393;6885.209;127.125
Monel;26.0;1300.0;661.448;21;19;temp;flu;flu;flu;712.178;9028.897;-8697.391;-7477.112
Titanium;22.4;1668.0;1465.529;43;21;temp;flu;flu;flu;33.665;2192.17;4527.077;1665.927
Copper - German Silver (Maillechort);24.9;900.0;-164.321;33;26;flu;temp;temp;flu;-9092.707;223.661;313.865;-4899.53
Bismuth;8.2;271.0;199.306;26;17;flu;flu;flu;temp;6759.727;5282.065;4397.716;152.357
Steel - Stainless, Type 347;14.3;1400.0;326.09;41;4;flu;temp;temp;temp;-5169.78;746.551;708.889;344.236
